eXoID	Setup
DOS01071	No setup found
DOS01072	No setup found
DOS01073	No setup found
DOS01074	Options during startup
DOS01075	CONFIG.BAT
DOS01076	Options during startup
DOS01077	SETUP.EXE
DOS01079	Options during startup
DOS01080	Options during startup
DOS01081	No setup found
DOS01082	SETBLAST.EXE
DOS01083	SETUP.EXE
DOS01084	SETUP.EXE
DOS01085	SETUP.EXE
DOS01086	Options during startup
DOS01087	SETUP.BAT
DOS01088	SETUP.EXE
DOS01089	No setup found
DOS01090	No setup found
DOS01091	No setup found
DOS01093	No setup found
DOS01094	No setup found
DOS01095	Options during startup
DOS01096	No setup found
DOS01097	No setup found
DOS01098	No setup found
DOS01099	No setup found
DOS01100	SETUP.EXE
DOS01101	No setup found
DOS01102	SNDSETUP.BAT
DOS01103	No setup found
DOS01104	SETUP.EXE
DOS01105	SETUP.EXE
DOS01107	SETD.EXE
DOS01108	No setup found
DOS01109	Options during startup
DOS01111	Options during startup
DOS01112	No setup found
DOS01113	No setup found
DOS01115	D:\BLUE\INSTALL.EXE
DOS01116	SETSOUND.EXE
DOS01117	No setup found
DOS01118	No setup found
DOS01119	No setup found
DOS01120	SETUP.BAT
DOS01121	No setup found
DOS01122	TATOU.COM
DOS01123	Options during startup
DOS01124	No setup found
DOS01125	No setup found
DOS01126	No setup found
DOS01127	No setup found
DOS01128	No setup found
DOS01129	INSTALL.BAT
DOS01131	Install.bat
DOS01132	Embedded in batchfile
DOS01133	No setup found
DOS01134	No setup found
DOS01135	No setup found
DOS01136	No setup found
DOS01137	No setup found
DOS01138	No setup found
DOS01140	No setup found
DOS01141	No setup found
DOS01142	No setup found
DOS01145	No setup found
DOS01146	Options during startup
DOS01147	No setup found
DOS01148	SETUP.EXE
DOS01149	Options during startup
DOS01151	Options during startup
DOS01153	SETUP.EXE
DOS01155	No setup found
DOS01156	Options during startup
DOS01157	No setup found
DOS01158	No setup found
DOS01159	No setup found
DOS01161	Options during startup
DOS01162	No setup found
DOS01163	No setup found
DOS01165	SETUP.EXE
DOS01166	No setup found
DOS01167	Options during startup
DOS01169	No setup found
DOS01170	INSTALL.EXE
DOS01171	No setup found
DOS01172	No setup found
DOS01173	No setup found
DOS01174	No setup found
DOS01175	SETUP.EXE
DOS01177	No setup found
DOS01179	No setup found
DOS01180	No setup found
DOS01181	No setup found
