eXoID	Game	Folder	sdl__fulldouble	sdl__fullfixed	sdl__output	sdl__autolock	sdl__sensitivity	sdl__mapperfile	sdl__usescancodes	sdl__overscan	sdl__titlebar	sdl__showmenu	dosbox__machine	dosbox__vmemsize	dosbox__memsize	render__char9	render__doublescan	render__autofit	vsync__vsyncmode	cpu__core	cpu__cputype	cpu__cycles	cpu__cycleup	cpu__cycledown	keyboard__aux	pci__voodoo	pci__voodoomem	mixer__rate	mixer__blocksize	mixer__prebuffer	midi__mpu401	midi__mididevice	midi__fluid_dot_soundfont	midi__fluid_dot_gain	midi__mt32_dot_romdir	midi__mt32_dot_output_dot_gain	sblaster__sbtype	sblaster__sbbase	sblaster__goldplay	sblaster__irq	sblaster__dma	sblaster__hdma	sblaster__sbmixer	sblaster__oplmode	sblaster__oplemu	sblaster__oplrate	gus__gus	gus__gusrate	gus__gusdma	gus__ultradir	innova__innova	speaker__ps1audio	speaker__ps1audiorate	speaker__pcspeaker	speaker__pcrate	speaker__wizpopfix	speaker__tandy	speaker__tandyrate	speaker__disney	joystick__joysticktype	joystick__timed	joystick__buttonwrap	dos__xms	dos__ems	dos__umb	dos__keyboardlayout	ipx__ipx	ne2000__ne2000	ne2000__macaddr	log__logfile
DOS00710	Actua Soccer: Club Edition	ActuaSoc			openglnb			mapper.map	false				svga_s3		32							90000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS06663	Action Worm	ActWorm			openglnb			mapper.map					svga_s3									15000																																																
DOS15202	America's Cup Yacht Racing Simulator	ACYRS			openglnb			mapper.map					ega		63							2000								25																																								
DOS00581	Alone in the Dark	adark1			openglnb			mapper.map					svga_s3		32							8000	500						2048	10																	true															true				none				
DOS00582	Alone In The Dark 2	adark2			openglnb			mapper.map					svga_s3		32							15000	500						2048	10																	true															true				none				
DOS00583	Alone in the Dark 3	adark394			openglnb			mapper.map					svga_s3		64							15000	500						2048	10																	true															true				none				
DOS07674	A.D Cop	ADCop			openglnb			mapper.map	false				svga_s3		63							50000								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false								true			
DOS00713	Add It!	AddIt			openglnb			mapper.map					svga_s3																																																									
DOS15203	Adentrator	Adentrat			openglnb			mapper.map					svga_s3		63							900								25																																								
DOS00591	Altered Destiny	ADestiny			openglnb			mapper.map	false				svga_s3		32															20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS00794	Angel Devoid: Face of the Enemy	adevoid			openglnb			mapper.map	false				svga_s3		32							max								20		mt32	.\mt32\SoundCanvas.sf2		.\mt32												true												false											
DOS17475	Adidas Power Soccer	adidas			openglnb			mapper.map					svga_s3		63					dynamic	pentium_slow	max																																																
DOS00019	Art D's Batch Adventure (Trilogy)	adnext			openglnb			mapper.map					svga_s3									max																																																
DOS00787	Ancient Domains of Mystery	ADOM			openglnb			mapper.map					svga_s3		64																																																							
DOS15204	Adskok	Adskok			openglnb			mapper.map					svga_s3		63															25																																								
DOS00715	Adult Film Cameraman	AdultFil			openglnb			mapper.map					svga_s3		64							max																																																
DOS07321	Advance to Boardwalk	Adv2BWlk			openglnb			mapper.map					svga_s3																																																		false	false	false					
DOS00015	Adventure	Adv87			openglnb			mapper.map					svga_s3																																																									
DOS00303	Advantage Tennis	Advantag			openglnb			mapper.map					svga_s3		64																																																							
DOS00305	Adventure Book	AdvBook			openglnb			mapper.map					svga_s3		32																																																							
DOS00729	The Adventures of Captain Comic	AdvCapCo			openglnb			mapper.map					svga_s3																	20																																								
