eXoID	MobyID	Game	Safe	File	Folder	Year	Publisher	Developer	Genre	Perspective	SubGenre	Misc	Series	URL	Collection	Notes	Compilation?	Foreign?	Add-On Included?	3D Graphics Card	3DFX Enabled	Video Modes	Video Resolution	SC55 Enabled	MT32 Enabled	Tandy Sound Enabled	Printer Support?	Max Players	Min CPU
DOS03003	11782	Kingdom at War	Kingdom at War	Kingdom at War (1992).zip	kingawar	1995	Manaccom Pty Ltd.	Interscan	Strategy	Top-Down	Fantasy		Theme: Fantasy	http://www.mobygames.com/game/kingdom-at-war	Y							VGA						6	Intel i386
DOS03004	6945	Kingdom II: Shadoan	Kingdom II - Shadoan	Kingdom II - Shadoan (1996).zip	k2shad	1996	Interplay Productions, Inc.	Virtual Image Productions	Adventure; Interactive Movie	3rd-Person Perspective	Fantasy, Interactive Movie, Puzzle-Solving		Kingdom Far Reaches series; Theme: Fantasy	http://www.mobygames.com/game/kingdom-ii-shadoan	Y							VGA; SuperVGA						1	Intel i486 DX2
DOS03007	678	Kingdom O' Magic	Kingdom O'Magic	Kingdom O'Magic (1996).zip	kingmagi	1996					Fantasy		Theme: Fantasy	http://www.mobygames.com/game/kingdom-o-magic	Y							VGA						1	Intel i486 DX
DOS05657	80596	Kingdom of Hamil	Kingdom of Hamil	Kingdom of Hamil (1987).zip	kingham	1987	Topologika Software, Ltd.	Jonathan Partington	Adventure; Interactive Fiction					http://www.mobygames.com/game/kingdom-of-hamil	Y													1	Intel 8088 / 8086
DOS03005	728	Kingdom of Kroz	Kingdom of Kroz	Kingdom of Kroz (1988).zip	KngKroz	1988	Softdisk Publishing	Softdisk Publishing	Action; Puzzle	3rd-Person Perspective, Top-Down	Puzzle-Solving, Real-Time		Kroz series	http://www.mobygames.com/game/kingdom-of-kroz	Y	includes part 2												1	Intel 8088 / 8086
DOS06100	729	Kingdom of Kroz II	Kingdom of Kroz II	Kingdom of Kroz II (1990).zip	KingKrz2	1990	Apogee Software, Ltd.	Apogee Software, Ltd.	Action; Puzzle	3rd-Person Perspective, Top-Down	Puzzle-Solving, Real-Time, Shooter		Kroz series	http://www.mobygames.com/game/kingdom-of-kroz-ii	Y													1	Intel 8088 / 8086
DOS02185	28985	Kingdom Without End	Kingdom Without End	Kingdom Without End (2001).zip	kwoend	2001	Freeware	Shannon Cochran	Adventure; Interactive Fiction		Interactive Fiction, Sci-Fi / Futuristic		Theme: Sci-Fi	http://www.mobygames.com/game/kingdom-without-end	Y													1	
DOS02184	4788	Kingdom: The Far Reaches	Kingdom I - The Far Reaches	Kingdom I - The Far Reaches (1995).zip	KINGDOM	1995					Interactive Movie, Puzzle-Solving		Kingdom Far Reaches series; Theme: Fantasy	http://www.mobygames.com/game/kingdom-the-far-reaches	Y							VGA						1	Intel i386 SX
DOS03008	38642	Kingdoms of Germany	Kingdoms of Germany	Kingdoms of Germany (1994).zip	kinggerm	1994				Top-Down	Turn-based		Theme: Fantasy	http://www.mobygames.com/game/kingdoms-of-germany	Y							VESA; SuperVGA						6	Intel i386
DOS02741	11794	Kingmaker	Kingmaker	Kingmaker (1994).zip	kingmake	1994				Top-Down	Historical Battle (specific/exact), Turn-based		Board / Party Game translations	http://www.mobygames.com/game/kingmaker	Y							VGA						1	Intel 80286
DOS02743	27383	Kingpin: Arcade Sports Bowling	Kingpin - Arcade Sports Bowling	Kingpin - Arcade Sports Bowling (1995).zip	KingpinA	1995	Team17 Software Limited	Team17 Software Limited	Sports / Bowling	3rd-Person Perspective			Sports: Bowling	http://www.mobygames.com/game/kingpin-arcade-sports-bowling	Y													6	
DOS02744	1473	King's Bounty	King's Bounty	King's Bounty (1990).zip	kingboun	1990	New World Computing, Inc.	New World Computing, Inc.	Role-Playing; Strategy	Top-Down	Fantasy, Turn-based		Might and Magic universe; Theme: Fantasy	http://www.mobygames.com/game/kings-bounty	Y							CGA; VGA; EGA; Hercules; Tandy / PCjr; MCGA						1	Intel 8088 / 8086
DOS06133	58319	King's Bounty 2	King's Bounty 2	King's Bounty 2 (1993).zip	KinBou93	1993	Freeware	Sergei Prokofiev	Strategy	Top-Down	Fantasy, Turn-based		Theme: Fantasy	http://www.mobygames.com/game/kings-bounty-2	Y													1	
DOS02746	1729	Kings of the Beach	Kings of the Beach	Kings of the Beach (1988).zip	Kingsoft	1988	Electronic Arts, Inc.	Electronic Arts, Inc.	Action; Sports / Volleyball	3rd-Person Perspective			Sports: Volleyball	http://www.mobygames.com/game/kings-of-the-beach	Y							CGA; EGA; Tandy / PCjr						2	Intel 8088 / 8086
DOS00029	6418	King's Quest I: Quest for the Crown (1987)	King's Quest I - Quest for the Crown	King's Quest I - Quest for the Crown (1987).zip	KQ1	1987	Sierra On-Line, Inc.	Sierra On-Line, Inc.	Adventure	3rd-Person Perspective	Fantasy, Puzzle-Solving		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest-quest-for-the-crown	Y													1	
DOS02747	122	King's Quest I: Quest for the Crown (1987)	King's Quest I - Quest for the Crown	King's Quest I - Quest for the Crown (1984).zip	KQ1pcjr	1984				3rd-Person Perspective	Fantasy, Puzzle-Solving		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest	Y							CGA; VGA; EGA; Hercules; CGA Composite (16 colors); Tandy / PCjr; MCGA						1	Intel 8088 / 8086
DOS06134		King's Quest I: Quest for the Crown (2001 Remake)	King's Quest I - Quest for the Crown	King's Quest I - Quest for the Crown (2001).zip	KQ12001	2001	Tierra Entertainment	Tierra Entertainment	Adventure	3rd-Person Perspective	Fantasy,Puzzle-Solving		Enhanced remakes; King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/dos/kings-quest-i-quest-for-the-crown	Y									Y				1	
DOS04325	439	King's Quest I: Quest for the Crown (SCI Remake)	King's Quest I - Quest for the Crown VGA	King's Quest I - Quest for the Crown SCI (1990).zip	kq1vga	1990				3rd-Person Perspective	Fantasy		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/roberta-williams-kings-quest-i-quest-for-the-crown	Y							CGA; VGA; EGA; Hercules; CGA (Tweaked); Tandy / PCjr; MCGA			Y			1	Intel 8088 / 8086
DOS00063		King's Quest II: Romancing the Stones (2002 Remake)	King's Quest II - Romancing the Stones	King's Quest II - Romancing the Stones (2002).zip	KQ22002	2002	Tierra Entertainment	Tierra Entertainment	Adventure	3rd-Person Perspective	Fantasy		Enhanced remakes; King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest-ii-romancing-the-stones/	Y													1	
DOS03011	123	King's Quest II: Romancing the Throne	King's Quest II - Romancing the Throne	King's Quest II - Romancing the Throne (1987).zip	KQ2	1987				3rd-Person Perspective	Fantasy, Puzzle-Solving		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest-ii-romancing-the-throne	Y							CGA; EGA; Hercules; CGA Composite (16 colors); Tandy / PCjr						1	Intel 8088 / 8086
DOS00030		King's Quest II: Romancing the Throne (PCjr)	King's Quest II - Romancing the Throne	King's Quest II - Romancing the Throne (1985).zip	KQ2pcjr	1985	Sierra On-Line, Inc.	Sierra On-Line, Inc.	Adventure	3rd-Person Perspective	Fantasy, Puzzle-Solving		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/dos/kings-quest-ii-romancing-the-throne	Y													1	
DOS03010	126	King's Quest III: To Heir is Human	King's Quest III - To Heir is Human	King's Quest III - To Heir is Human (1986).zip	KQ3	1986				3rd-Person Perspective	Fantasy		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest-iii-to-heir-is-human	Y							CGA; EGA; Hercules; CGA Composite (16 colors); Tandy / PCjr				Y		1	Intel 8088 / 8086
DOS03012	129	King's Quest IV: The Perils of Rosella	King's Quest IV - The Perils of Rosella	King's Quest IV - The Perils of Rosella (1988).zip	KQ4	1988				3rd-Person Perspective	Fantasy		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest-iv-the-perils-of-rosella	Y							CGA; VGA; EGA; Hercules; CGA Composite (16 colors); Tandy / PCjr; MCGA		Y	Y			1	Intel 8088 / 8086
DOS03013	130	King's Quest V: Absence Makes the Heart Go Yonder!	King's Quest V - Absence Makes the Heart Go Yonder	King's Quest V - Absence Makes the Heart Go Yonder (1990).zip	KQ5	1990				3rd-Person Perspective	Fantasy, Puzzle-Solving		King's Quest series; Theme: Fantasy	http://www.mobygames.com/game/kings-quest-v-absence-makes-the-heart-go-yonder	Y							VGA; EGA; Tandy / PCjr; MCGA		Y	Y			1	Intel 8088 / 8086
