Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder	Rowstart	Rowlines	eXoDOS entry?	Same ID, Name and Size	Unique File
VBALL.EXE	12965	34FB8160	DOS02746	Kings of the Beach (1988).zip			START.BAT	23	3213C843	Kingsoft\					1
disk.img	368640	524C1991	DOS02747	King's Quest I - Quest for the Crown (1984).zip	Boot					KQ1pcjr\floppy\					1
oaf.gam	918200	E9452F47	DOS02749	Once and Future (1998).zip			tadsr.exe	1178112	1B0FA72D	oncefutr\					1
FOREST.EXE	464980	D1180FEC	DOS02750	Once Upon a Forest (1995).zip			run.bat	543	16213677	uponfor\					1
GO.EXE	88587	8554205D	DOS02751	Once Upon A Time - Abracadabra (1991).zip			GOC.BAT	23	2EB73C79	ouatabc\					1
GO.EXE	88399	AA76C7E5	DOS02752	Once Upon a Time - Baba Yaga (1991).zip			GOC.BAT	23	2EB73C79	ouatbaba\					1
LOADER.EXE	74960	2678913F	DOS02753	Once Upon A Time - Little Red Riding Hood (1991).zip			Runme.bat	61	5D7ADF95	redridin\					1
OMF.EXE	4448	53E10777	DOS02754	One Must Fall 2097 (1994).zip			RUN.BAT	344	0DDDCDAC	OneMustF\					1
1-0.exe	96797	B8BCC3EF	DOS02755	One-Nil Soccer Manager (1992).zip			run.bat	4	7B625AE2	One-NilS\					1
ONESIMUS.EXE	203225	D6506409	DOS02756	Onesimus - A Quest for Freedom (1992).zip						Onesimus\					1
ONESTEP.EXE	731	71833FE0	DOS02757	One Step Beyond (1993).zip			run.bat	462	FCABA98C	OneStepB\					1
RALLO.EXE	303200	8D1724BC	DOS02759	Rallo Gump (1994).zip			run.bat	613	DA3A7407	RalloGum\rg\rallo\					1
POSIX.EXE	4480	EF3F370E	DOS02760	Rally Championships (1994).zip			START.BAT	46	1D76D9AD	RallyCha\race\					1
RAL.EXE	1376927	ADFA8235	DOS02762	Rallye Racing 97 (1996).zip			RALLY.BAT	20	78FF84DF	RallyeRa\rallyc\					2
HS.EXE	138704	0175ADF4	DOS02763	Ralph Bosson's High Seas (1988).zip						RalphBos\					1
RAM_EGA.EXE	128926	691AC0CA	DOS02764	R.A.M. (1990).zip						RAM\					1
TRINIT.EXE	12032	22326A0F	DOS02765	RAM! (1985).zip			RAM.BAT	27	7AEA1DD9	RAM85\					1
SIER.EXE	900765	BC5F8CE8	DOS02766	Rama (1996).zip			RAMADOS.BAT	173	372E1385	rama\					1
TABLES	4559	1CA5F881	DOS02767	Rambo - First Blood Part II (1985).zip			AUTOEXEC.BAT	28	5443FFD8	rambo1st\					1
RAMBO.COM	787	46CBDAB0	DOS02768	Rambo III (1989).zip			run.bat	875	FEAC6D05	RamboIII\					1
cd.img	50331648	D9BFF0C6	DOS02769	Romantic Blue (1994).zip		Image	ROMANTIC.BAT	139	7E704FA5	ROMANTIC\cd\					1
