eXoID	Game	Folder	AutoexecEcho	AutoexecMounts	AutoexecPrelauncher1	AutoexecPrelauncher2	AutoexecPrelauncher3	AutoexecPrelauncher4	AutoexecExecuteable	AutoexecLastMountPath	AutoexecLastPathChange	AutoexecPathChanges	Adir	Bdir	Cdir	Ddir	ExitFound	DOSBoxVersion	ScummVM
DOS17548	Supreme Command	Suprem95		C;;Suprem95;|					call SUPREME	c:		c: call SUPREME|			Suprem95		Yes	ece4230\dosbox.exe	
DOS04987	Supreme Warrior	SupremeW	.[13][10]This game spans 2 CDs. Press Ctrl+F4 when prompted to switch to the next disc.[13][10].[13][10]	C;;SupremeW;|D;IMG;cd1.ISO/cd2.ISO;-t cdrom|					call game	d:	setup	d:\setup call game|			SupremeW	cd1.ISO/cd2.ISO	Yes	dosbox.exe	
DOS07108	Super Maxit	SuprMaxi		C;;SuprMaxi;|					supermax	c:		c: supermax|			SuprMaxi		Yes	dosbox.exe	
DOS04957	Supernova	suprnova		C;;;|					nova	c:	suprnova	c:\suprnova nova|					Yes	dosbox.exe	
DOS04982	Super Trio	SuprTrio		C;;SuprTrio;|					st	c:	SuprTrio	c:\SuprTrio st|			SuprTrio		Yes	ece4230\dosbox.exe	
DOS04870	S-Tetris	suptris		C;;suptris;|					stetris	c:	suptris	c:\suptris stetris|			suptris		Yes	dosbox.exe	
DOS15857	Super Winnie the Pooh	SupWinni		C;;SupWinni;|					POOH	c:		c: POOH|			SupWinni		Yes	dosbox.exe	
DOS04988	Surface Tension	SurfaceT		C;;SurfaceT;|D;IMG;ST.cue;-t cdrom|	mixer cdaudio 20				call st	c:	ST	c: mixer cdaudio 20|\ST call st|			SurfaceT	ST.cue	Yes	dosbox.exe	
DOS04989	Surf Ninjas	SurfNinj		C;;SurfNinj;|					call surf	c:	SurfNinj	c:\SurfNinj call surf|			SurfNinj		Yes	dosbox.exe	
DOS06348	Survival Adventure	SurvAdv		C;;SurvAdv;|					survival	c:	SurvAdv	c:\SurvAdv survival|			SurvAdv		Yes	dosbox.exe	
DOS15861	Survival	Surviv95		C;;Surviv95;|D;IMG;Survival.cue;-t cdrom|					call survival	c:	SURVIVAL	c:\SURVIVAL call survival|			Surviv95	Survival.cue	Yes	dosbox.exe	
DOS06045	Survival in New York City	survnyc		C;;;|					newyork	c:	survnyc	c:\survnyc newyork|					Yes	dosbox.exe	
DOS04990	Susan (A Lustful Game)	susan		C;;;|					call susan.bat	c:	susan	c:\susan call susan.bat|					Yes	dosbox.exe	
DOS05990	Suspect	suspect		C;;;|	CWSDPMI				frotz -d 5 suspect.dat	c:	suspect	c:\suspect CWSDPMI| frotz -d 5 suspect.dat|					Yes	dosbox.exe	
DOS05991	Suspended: A Cryogenic Nightmare	suspende		C;;;|					call SUSPENDE	c:	suspende	c:\suspende call SUSPENDE|					Yes	dosbox.exe	
DOS04984	Super-VGA Harrier	SVGAHarr		A;;SVGAHarr\floppy;-t floppy|C;;SVGAHarr;|					call run	c:		c: call run|	SVGAHarr\floppy		SVGAHarr		Yes	ece4230\dosbox.exe	
DOS07088	The Soviet Block	SvietBlk		C;;SvietBlk;|					soviet	c:		c: soviet|			SvietBlk		Yes	dosbox.exe	
DOS02407	Soviet Block II	SvitBlk2		C;;SvitBlk2;|					SOVIETII	c:		c: SOVIETII|			SvitBlk2		Yes	dosbox.exe	
DOS04991	Swap	Swap92		C;;;|					swap	c:	Swap92	c:\Swap92 swap|					Yes	dosbox.exe	
DOS15862	Swapper	swapper		C;;swapper;|					swapper	c:		c: swapper|			swapper		Yes	dosbox.exe	
DOS16129	SWAR!	SWAR!		C;;SWAR!;|					SWAR	c:		c: SWAR|			SWAR!		Yes	dosbox.exe	
DOS07841	Starwars 2	SWARS2		C;;SWARS2;|					call play	c:		c: call play|			SWARS2		Yes	dosbox.exe	
DOS04842	The Software Toolworks' Star Wars Chess	SWarsChs		C;;SWarsChs;|					call run	c:		c: call run|			SWarsChs		Yes	ece4230\dosbox.exe	
DOS15729	Shane Warne Cricket	SWCrick		C;;SWCrick;|D;;SWCrick;-t cdrom|					DOS96	c:		c: DOS96|			SWCrick	SWCrick	Yes	ece4230\dosbox.exe	
